year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2008,1646,5387,3255,12488,136531,14747,4627,933,50158,19095,6061,3346,1464,14724,7395,1738,8137,5481,14506,9219,2632,28248,7644,7687,1961,1417,12411,615,3985,2019,13832,3015,8726,61125,12912,3846,20653,15378,1196,5660,579,9705,40190,3434,8469,954,21954,5449,2016,751
2009,1992,6080,2852,14721,123678,15268,4605,1130,55599,20360,5782,3380,1939,14055,6984,1892,5999,12504,15482,11698,2444,14005,7718,6959,2797,1196,12918,773,3718,1645,13169,3475,11089,61067,12700,4838,17309,15096,1607,4473,731,10532,36761,3795,8852,1214,22782,6525,1667,515
2010,1863,6046,2762,13711,123480,15482,4316,982,57551,19836,5834,3014,2346,14395,6452,2024,6623,12482,16646,10845,2379,13058,7869,8122,2743,1615,12191,799,3877,1574,13737,3475,11205,65606,12569,5229,19492,14516,1282,4473,731,10276,35121,3284,9080,1220,22878,6333,2264,579
2011,2128,5558,3424,10504,125128,15116,4456,1035,56687,20975,6188,3134,2199,14009,6196,2511,6034,9291,16664,10208,2447,13185,7495,8989,2306,1768,12896,603,3548,1469,14137,3601,9150,63445,13030,4625,17254,15096,1070,5093,826,9113,36911,3130,8816,1144,20439,5785,2211,1038
2012,1913,5209,4214,11302,120098,16768,4209,1008,55170,20516,6246,2928,1968,14144,6259,2684,5230,7772,17501,9454,2393,12592,7744,10237,2413,1833,13524,688,3789,1496,13025,3245,8497,69566,13977,5032,15828,14736,1277,4915,859,9426,34052,3527,8424,1160,20504,6027,2410,1813
2013,1946,4689,3812,10562,118552,9754,4448,946,47862,16971,6335,3084,1781,13425,6096,2693,5245,5226,19029,8205,3016,11527,8214,8581,2403,1878,12168,2069,3145,1447,12002,2819,7039,77430,12325,4408,13822,15086,1384,6544,1094,9528,29615,3277,7625,1454,17760,6104,2240,953
2014,1784,4561,2936,10495,113952,10028,4450,901,41542,16521,6918,3122,2104,13107,5971,2783,5089,4606,21237,7856,2726,12227,8377,7282,2226,1745,11491,1258,3026,1376,11671,2746,8582,80590,11823,4191,12164,15333,1190,5057,885,9415,28495,3081,7020,1559,18442,6055,2013,757
2015,1956,3970,2560,9896,115738,9953,4047,953,35900,13790,7620,3081,1966,13177,5863,2588,4538,4081,21135,8390,2372,10516,7546,6482,1983,1709,10685,1305,2744,1445,10098,2629,8743,88250,11182,3777,13226,15421,1111,5354,1036,9123,23678,3025,7001,1523,19419,6057,1835,798
2016,1940,4111,2463,9707,118142,10550,3902,1070,33559,12909,7921,3064,2247,11590,5798,2255,4237,3994,19608,7689,2241,9316,7341,6194,1738,1418,9559,923,2754,1366,8895,2263,7398,86352,10404,4107,13238,15339,1160,5051,1072,8779,23122,2807,6268,1117,20827,5685,1387,857
2017,1845,3793,2467,8947,131532,10940,3388,994,32190,10174,7220,2756,2037,10798,5438,2287,4025,3305,17565,7247,2280,9051,7668,6037,1472,1529,8962,1089,2501,1456,8536,2482,7833,89503,10095,4199,13953,14138,1180,3916,943,8309,23548,2852,6067,1225,21112,5027,1309,873
2018,2016,3434,2712,9865,129972,10857,3976,1082,31030,9499,6530,2749,2012,10643,5258,2216,3688,3059,20068,7144,2516,8351,7243,5883,1352,1405,9268,542,2421,1450,9398,2551,7544,91897,10249,3871,14476,13512,1101,3933,1159,7883,25310,2876,5975,1291,22304,4907,1243,639
2019,1907,3261,2717,10007,151278,9619,3033,921,28328,10443,6412,2315,2315,10199,5471,2381,4079,2941,18471,6561,2106,8575,7977,6179,1184,1357,9314,557,2365,1396,8862,3241,7169,92091,10345,3944,15876,13199,1055,4172,995,7467,25848,2798,5783,1089,21577,4538,1397,548
