State,Total Year-Round Beds 2020,Total Year-Round Beds 2019,Total Year-Round Beds 2018,Total Year-Round Beds 2017
AK,1885,1878,1940,1828
AL,2913,2701,3188,3444
AR,1686,1917,2362,2062
AZ,6079,6568,6683,5880
CA,53265,46306,43548,44473
CO,8274,8196,7532,7071
CT,2600,2697,3417,3094
DC,6687,6156,6721,7402
DE,1026,1014,1122,1143
FL,17793,18617,19554,19982
GA,7413,7600,7363,8127
GU,145,161,140,129
HI,3384,3121,3599,4252
IA,2566,2518,3026,3266
ID,1577,1466,1413,1691
IL,10233,9939,10210,10177
IN,5821,5916,5568,6142
KS,2813,2561,2599,2516
KY,3322,3049,2875,3540
LA,2580,2708,2647,3164
MA,17528,17472,17310,16614
MD,5221,5303,5529,5616
ME,2348,2254,2734,2457
MI,8964,8630,8531,8624
MN,6730,6356,6660,7013
MO,5763,5866,5624,6057
MP,30,30,30,41
MS,962,1093,1079,1322
MT,1351,1319,1376,1290
NC,7928,7983,7963,8002
ND,757,754,726,1034
NE,2764,2558,2390,2569
NH,1574,1325,1349,1383
NJ,7178,7151,7099,7001
NM,2379,2465,1651,1674
NV,3153,3063,3033,3331
NY,88955,89238,88063,87836
OH,9253,9231,9269,9420
OK,3101,3221,3339,3678
OR,5957,7147,6419,6648
PA,12789,12687,12909,14246
PR,731,855,955,1531
RI,993,952,1003,1069
SC,3067,3071,3001,2931
SD,1215,1074,1090,1356
TN,5060,5413,5674,6326
TX,18141,18271,18006,19344
UT,2865,2927,2968,2754
VA,4973,5092,5303,5628
VI,92,78,205,132
VT,823,853,937,961
WA,14817,14082,15016,14288
WI,4341,4514,4721,5525
WV,1480,1513,1593,1657
WY,804,619,560,698
,,,,
