year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2008,1697,4337,1847,9803,52016,6522,3958,1250,22036,10152,3872,4311,1872,13815,8811,2474,6078,4707,14239,5610,2966,11678,7096,6994,1788,1188,9730,782,3217,1516,6833,2649,5294,57217,10629,3575,9237,16747,1254,3969,1379,6259,20666,3306,7671,931,17279,6305,2060,710
2009,1697,4065,1802,9066,52397,6363,4043,1197,22376,10584,4210,4288,1944,13153,7608,1399,5250,5070,15036,6026,2774,12059,7171,7391,1451,1214,9639,790,3189,1356,6809,2743,8397,60070,10757,3661,8563,16112,1450,4261,1379,5725,22449,3215,7947,791,17927,5989,1853,739
2010,1805,4221,2700,8914,50282,6420,3921,1233,23362,9965,4259,3978,1905,13555,7661,2787,5556,5148,15509,5900,2724,11822,7325,7440,1376,1170,9968,850,3490,1374,6845,2692,3971,63841,11324,3633,7640,15745,1215,3508,1379,6202,22393,2922,7949,786,18071,6008,2002,904
2011,1939,4497,2710,8748,49657,6361,3906,1216,23974,11167,4250,3982,1895,13045,7245,2942,5389,5073,14567,6284,2801,12108,6973,8136,1373,1207,10277,739,3807,1360,7576,2797,4775,64083,11693,3632,7377,16363,1300,3791,1319,6746,24323,2954,7690,805,16669,6692,1878,753
2012,1877,4297,2662,9238,47144,6536,3539,1239,23272,9534,4230,3627,1795,13246,7389,3085,4547,5041,14782,5769,2675,11827,6879,8253,1542,1411,10071,724,3667,1353,7882,2545,4630,69190,12499,4013,7249,16050,1162,4825,1444,6492,22880,3020,7514,981,16966,6384,1874,817
2013,1895,4072,2502,8783,44864,7536,3442,1260,23438,8823,4112,3764,1762,12749,7201,3120,4791,4615,15055,6024,3243,10990,6996,7691,1759,1452,10112,729,3531,1333,7902,2413,3929,75762,11368,4162,7379,15612,1181,3884,1588,6960,22257,2840,6895,1414,14716,6481,1963,905
2014,1814,3724,2151,8873,44035,8466,3411,1172,22316,9256,4336,3643,1768,12676,6842,3188,4262,4574,15471,5950,2730,10643,7336,7284,1607,1337,9724,936,3446,1398,7561,2325,5175,78506,10759,3880,6924,15922,1225,3473,1747,6791,22443,2740,6274,1040,14886,6504,1965,815
2015,1860,3613,2486,7473,45929,7653,3399,1146,22026,9219,4363,3606,1859,11975,6511,2979,4087,4028,17707,6076,2576,10337,6779,6700,1498,1224,9337,966,2973,1369,7737,2277,4466,86578,10273,3804,6144,16140,1142,3755,1460,6981,20812,2760,6077,903,14476,6703,1815,853
2016,1826,3489,2394,6942,42351,7656,3236,1170,21575,8792,4412,3568,1906,11381,6479,2462,3797,3675,17382,6138,2484,9261,6871,6529,1383,1257,8641,980,2733,1476,7127,1880,3577,84730,9844,3762,5791,15682,1122,3721,1157,6979,20297,2499,5942,752,14627,6404,1731,812
2017,1828,3444,2062,5880,44473,7071,3094,1143,19982,8127,4252,3266,1691,10177,6142,2516,3540,3164,16614,5616,2457,8624,7013,6057,1322,1290,8002,1034,2569,1383,7001,1674,3331,87836,9420,3678,6648,14246,1069,2931,1356,6326,19344,2754,5628,961,14288,5525,1657,698
2018,1940,3188,2362,6683,43548,7532,3417,1122,19554,7363,3599,3026,1413,10210,5568,2599,2875,2647,17310,5529,2734,8531,6660,5624,1079,1376,7963,726,2390,1349,7099,1651,3033,88063,9269,3339,6419,12909,1003,3001,1090,5674,18006,2968,5303,937,15016,4721,1593,560
2019,1878,2701,1917,6568,46306,8196,2697,1014,18617,7600,3121,2518,1466,9939,5916,2561,3049,2708,17472,5303,2254,8630,6356,5866,1093,1319,7983,754,2558,1325,7151,2465,3063,89238,9231,3221,7147,12687,952,3071,1074,5413,18271,2927,5092,853,14082,4514,1513,619
