State,totalHomeless,totalHouseholds,totalVeterans,totalYoungAdults
California,151278,7044,10980,11993
New York,92091,15091,1270,2978
Florida,28328,2171,2472,1450
Texas,25848,1919,1806,1355
Washington,21577,1751,1585,1911
Massachusetts,18471,3766,917,480
Oregon,15876,1147,1438,1590
Pennsylvania,13199,1569,857,737
Georgia,10443,815,801,596
Ohio,10345,999,676,643
Illinois,10199,1105,690,609
Arizona,10007,745,910,587
Colorado,9619,719,1068,545
North Carolina,9314,767,907,417
New Jersey,8862,993,551,496
Michigan,8575,1022,599,489
Minnesota,7977,1028,297,685
Tennessee,7467,558,679,366
Nevada,7169,183,674,1285
Maryland,6561,603,490,290
Hawaii,6412,539,505,222
Missouri,6179,707,488,477
Virginia,5783,652,447,258
Indiana,5471,544,572,258
Wisconsin,4538,592,359,200
South Carolina,4172,275,462,216
Kentucky,4079,313,447,211
Oklahoma,3944,300,280,322
Alabama,3261,236,292,320
New Mexico,3241,246,257,216
Connecticut,3033,305,195,196
Louisiana,2941,170,360,188
Utah,2798,260,211,163
Arkansas,2717,132,238,336
Kansas,2381,209,189,122
Nebraska,2365,201,175,151
Iowa,2315,227,149,146
Idaho,2315,243,201,188
Maine,2106,283,116,125
Alaska,1907,161,111,176
West Virginia,1397,79,137,89
New Hampshire,1396,206,113,84
Montana,1357,136,205,82
Mississippi,1184,69,72,56
Vermont,1089,128,87,105
Rhode Island,1055,111,92,26
South Dakota,995,76,66,66
Delaware,921,116,65,42
North Dakota,557,51,49,72
Wyoming,548,37,51,81
