State,"Overall Homeless, 2020","Overall Homeless, 2019","Overall Homeless, 2018","Overall Homeless, 2017"
AK,"1,949","1,907","2,016","1,845"
AL,"3,351","3,261","3,434","3,793"
AR,"2,366","2,717","2,712","2,467"
AS, , , , 
AZ,"10,979","10,007","9,865","8,947"
CA,"161,548","151,278","129,972","131,532"
CO,"9,846","9,619","10,857","10,940"
CT,"2,905","3,033","3,976","3,388"
DC,"6,380","6,521","6,904","7,473"
DE,"1,165",921,"1,082",994
FL,"27,487","28,328","31,030","32,190"
GA,"10,234","10,443","9,499","10,174"
GU,790,875,854,852
HI,"6,458","6,412","6,530","7,220"
IA,"2,647","2,315","2,749","2,756"
ID,"2,315","2,315","2,012","2,037"
IL,"10,431","10,199","10,643","10,798"
IN,"5,625","5,471","5,258","5,438"
KS,"2,449","2,381","2,216","2,287"
KY,"4,011","4,079","3,688","4,025"
LA,"3,173","2,941","3,059","3,305"
MA,"17,975","18,471","20,068","17,565"
MD,"6,360","6,561","7,144","7,247"
ME,"2,097","2,106","2,516","2,280"
MI,"8,638","8,575","8,351","9,051"
MN,"7,940","7,977","7,243","7,668"
MO,"6,527","6,179","5,883","6,037"
MP,"1,207","1,807","1,044",672
MS,"1,107","1,184","1,352","1,472"
MT,"1,545","1,357","1,405","1,529"
NC,"9,280","9,314","9,268","8,962"
ND,541,557,542,"1,089"
NE,"2,404","2,365","2,421","2,501"
NH,"1,675","1,396","1,450","1,456"
NJ,"9,662","8,862","9,398","8,536"
NM,"3,333","3,241","2,551","2,482"
NV,"6,900","7,169","7,544","7,833"
NY,"91,271","92,091","91,897","89,503"
OH,"10,655","10,345","10,249","10,095"
OK,"3,932","3,944","3,871","4,199"
OR,"14,655","15,876","14,476","13,953"
PA,"13,375","13,199","13,512","14,138"
PR,"2,451","2,535","3,182","3,525"
RI,"1,104","1,055","1,101","1,180"
SC,"4,287","4,172","3,933","3,916"
SD,"1,058",995,"1,159",943
TN,"7,256","7,467","7,883","8,309"
TX,"27,229","25,848","25,310","23,548"
UT,"3,131","2,798","2,876","2,852"
VA,"5,957","5,783","5,975","6,067"
VI,304,314,486,381
VT,"1,110","1,089","1,291","1,225"
WA,"22,923","21,577","22,304","21,112"
WI,"4,515","4,538","4,907","5,027"
WV,"1,341","1,397","1,243","1,309"
WY,612,548,639,873
Total,"580,466","567,715","552,830","550,996"
,,,,
